Loss,Accuracy,Learning_rate
0.9857987761497498,0.484375,0.01
0.6091171503067017,0.6953125,0.01
0.5307791829109192,0.765625,0.01
0.4723341464996338,0.80078125,0.01
0.4357227385044098,0.8218749761581421,0.01
0.40979883074760437,0.8359375,0.01
0.40196678042411804,0.8504464030265808,0.01
0.3837037682533264,0.861328125,0.01
0.3600010275840759,0.8697916865348816,0.01
0.3429161012172699,0.8734375238418579,0.01
0.33173561096191406,0.8792613744735718,0.01
0.31584471464157104,0.8854166865348816,0.01
0.30838847160339355,0.890625,0.01
0.2966306209564209,0.8950892686843872,0.01
0.2884405255317688,0.8968750238418579,0.01
0.27814891934394836,0.900390625,0.01
0.2685243487358093,0.9034926295280457,0.01
0.2595810890197754,0.90625,0.01
0.25517505407333374,0.9070723652839661,0.01
0.2527520954608917,0.9085937738418579,0.01
0.248524472117424,0.9092261791229248,0.01
0.24741224944591522,0.9105113744735718,0.01
0.24035748839378357,0.913722813129425,0.01
0.23803579807281494,0.9147135615348816,0.01
0.2352694720029831,0.9150000214576721,0.01
0.2311854064464569,0.917067289352417,0.01
0.22614489495754242,0.9189814925193787,0.01
0.22119171917438507,0.9207589030265808,0.01
0.21822792291641235,0.9224137663841248,0.01
0.2157219648361206,0.9239583611488342,0.01
0.2164057493209839,0.9248992204666138,0.01
0.21635660529136658,0.92333984375,0.01
0.2137676477432251,0.9242424368858337,0.01
0.2104063630104065,0.9250919222831726,0.01
0.20842322707176208,0.9258928298950195,0.01
0.2067204862833023,0.9266493320465088,0.01
0.204553484916687,0.9273648858070374,0.01
0.20310157537460327,0.9276315569877625,0.01
0.20183256268501282,0.9282852411270142,0.01
0.20474891364574432,0.926562488079071,0.01
0.20691847801208496,0.926067054271698,0.01
0.2043180912733078,0.9270833134651184,0.01
0.20248150825500488,0.9280523061752319,0.01
0.20051683485507965,0.9289772510528564,0.01
0.20049621164798737,0.9277777671813965,0.01
0.1974649429321289,0.9290081262588501,0.01
0.1956872045993805,0.9295212626457214,0.01
0.1940782070159912,0.9300130009651184,0.01
0.19342590868473053,0.9295280575752258,0.01
0.19142600893974304,0.9303125143051147,0.01
0.18920990824699402,0.9310661554336548,0.01
0.18758340179920197,0.9314903616905212,0.01
0.18628399074077606,0.9316037893295288,0.01
0.18745991587638855,0.9311342835426331,0.01
0.18585017323493958,0.9315341114997864,0.01
0.1870078146457672,0.931640625,0.01
0.18588751554489136,0.9317434430122375,0.01
0.18594147264957428,0.9315732717514038,0.01
0.18457642197608948,0.9322034120559692,0.01
0.18254521489143372,0.9330729246139526,0.01
0.18268190324306488,0.9331454634666443,0.01
0.1845693588256836,0.9329637289047241,0.01
0.18277089297771454,0.933779776096344,0.01
0.18318983912467957,0.93359375,0.01
0.18147513270378113,0.934374988079071,0.01
0.18025600910186768,0.9344223737716675,0.01
0.17959032952785492,0.9347015023231506,0.01
0.178324893116951,0.9352021813392639,0.01
0.1774578094482422,0.9356883764266968,0.01
0.17673105001449585,0.9361607432365417,0.01
0.17704613506793976,0.9361795783042908,0.01
0.1775580495595932,0.9364149570465088,0.01
0.17690689861774445,0.9364297986030579,0.01
0.17628905177116394,0.9368665814399719,0.01
0.17608016729354858,0.9370833039283752,0.01
0.1748194694519043,0.9377055764198303,0.01
0.17436733841896057,0.9381087422370911,0.01
0.1735800951719284,0.9381009340286255,0.01
0.17284657061100006,0.938093364238739,0.01
0.171859011054039,0.938671886920929,0.01
0.1712762862443924,0.9388502836227417,0.01
0.17188334465026855,0.9384527206420898,0.01
0.17108748853206635,0.9386295080184937,0.01
0.17098736763000488,0.9386160969734192,0.01
0.1718374788761139,0.9384191036224365,0.01
0.17161822319030762,0.9384084343910217,0.01
0.1712489128112793,0.9382184147834778,0.01
0.1710633486509323,0.9383878111839294,0.01
0.17109736800193787,0.9382022619247437,0.01
0.17072702944278717,0.9383680820465088,0.01
0.16970989108085632,0.9387019276618958,0.01
0.17006348073482513,0.9385190010070801,0.01
0.16872169077396393,0.9391801357269287,0.01
0.16818024218082428,0.9394946694374084,0.01
0.16831980645656586,0.9394736886024475,0.01
0.16793426871299744,0.9397786259651184,0.01
0.1676885187625885,0.9400773048400879,0.01
0.1669108271598816,0.9402104616165161,0.01
0.16640552878379822,0.9403409361839294,0.01
0.16203583776950836,0.9375,0.01
0.1539781242609024,0.953125,0.01
0.1835329234600067,0.9375,0.01
0.1809568703174591,0.9375,0.01
0.16654568910598755,0.9437500238418579,0.01
0.1493891179561615,0.9505208134651184,0.01
0.1457042098045349,0.9486607313156128,0.01
0.1476367712020874,0.947265625,0.01
0.14222969114780426,0.9461805820465088,0.01
0.14600394666194916,0.9437500238418579,0.01
0.14005537331104279,0.9446022510528564,0.01
0.1421659290790558,0.94140625,0.01
0.13865993916988373,0.9435096383094788,0.01
0.13884097337722778,0.9430803656578064,0.01
0.13997885584831238,0.9437500238418579,0.01
0.14822475612163544,0.939453125,0.01
0.14679469168186188,0.9402573704719543,0.01
0.14482270181179047,0.9409722089767456,0.01
0.1471712738275528,0.9416118264198303,0.01
0.14959590137004852,0.9398437738418579,0.01
0.14666180312633514,0.941220223903656,0.01
0.14345408976078033,0.9424715638160706,0.01
0.1474655568599701,0.9402173757553101,0.01
0.15346306562423706,0.9388020634651184,0.01
0.15320320427417755,0.9381250143051147,0.01
0.15214359760284424,0.9387019276618958,0.01
0.14942720532417297,0.9398148059844971,0.01
0.14819392561912537,0.9408482313156128,0.01
0.14641107618808746,0.9418103694915771,0.01
0.14949651062488556,0.9411458373069763,0.01
0.1487405151128769,0.9415322542190552,0.01
0.149314284324646,0.94140625,0.01
0.15181955695152283,0.9412878751754761,0.01
0.15091024339199066,0.9416360259056091,0.01
0.14934708178043365,0.9428571462631226,0.01
0.14731809496879578,0.9435763955116272,0.01
0.14562320709228516,0.9442567825317383,0.01
0.14348627626895905,0.9457237124443054,0.01
0.14217115938663483,0.9463140964508057,0.01
0.14024603366851807,0.9468749761581421,0.01
0.14363357424736023,0.9462652206420898,0.01
0.1448989361524582,0.9460565447807312,0.01
0.14787337183952332,0.944767415523529,0.01
0.14696407318115234,0.9453125,0.01
0.1481396108865738,0.9437500238418579,0.01
0.14883235096931458,0.9429348111152649,0.01
0.1472364366054535,0.9438164830207825,0.01
0.14646008610725403,0.9440104365348816,0.01
0.14792999625205994,0.9435586929321289,0.01
0.148891881108284,0.9428125023841858,0.01
0.14937029778957367,0.9427083134651184,0.01
0.14963243901729584,0.942307710647583,0.01
0.14867721498012543,0.942806601524353,0.01
0.14799553155899048,0.9435763955116272,0.01
0.14714287221431732,0.9440340995788574,0.01
0.14688080549240112,0.9441964030265808,0.01
0.14647413790225983,0.9443530440330505,0.01
0.1468551903963089,0.9442349076271057,0.01
0.14687427878379822,0.9438559412956238,0.01
0.14600840210914612,0.9442708492279053,0.01
0.14500801265239716,0.9446721076965332,0.01
0.14409925043582916,0.9453125,0.01
0.1453102082014084,0.9454365372657776,0.002
0.14584198594093323,0.944580078125,0.002
0.14471185207366943,0.9449519515037537,0.002
0.14461375772953033,0.9450757503509521,0.002
0.14307479560375214,0.9456623196601868,0.002
0.14245827496051788,0.9460018277168274,0.002
0.14286069571971893,0.945652186870575,0.002
0.14277531206607819,0.9453125,0.002
0.14374761283397675,0.9452024698257446,0.002
0.1424650400876999,0.9457465410232544,0.002
0.14249296486377716,0.9452054500579834,0.002
0.14234860241413116,0.9448902010917664,0.002
0.14201602339744568,0.9447916746139526,0.002
0.14399676024913788,0.9446957111358643,0.002
0.14376218616962433,0.9448052048683167,0.002
0.14334192872047424,0.9451121687889099,0.002
0.1426052451133728,0.9454113841056824,0.002
0.14390598237514496,0.945117175579071,0.002
0.14272497594356537,0.9456018805503845,0.002
0.14208923280239105,0.9456936120986938,0.002
0.1414986103773117,0.9455949068069458,0.002
0.14041076600551605,0.9460565447807312,0.002
0.1428087204694748,0.945036768913269,0.002
0.14310112595558167,0.944767415523529,0.002
0.14361131191253662,0.944145143032074,0.002
0.14355869591236115,0.9442471861839294,0.002
0.1437109410762787,0.9443469047546387,0.002
0.143665611743927,0.9444444179534912,0.002
0.14411872625350952,0.9443681240081787,0.002
0.14375735819339752,0.9446331262588501,0.002
0.14463922381401062,0.9440523982048035,0.002
0.1442509889602661,0.9443151354789734,0.002
0.14447806775569916,0.9440789222717285,0.002
0.14723575115203857,0.9431965947151184,0.002
0.14658427238464355,0.9434600472450256,0.002
0.14677193760871887,0.9435586929321289,0.002
0.14692364633083344,0.9434974789619446,0.002
0.14670605957508087,0.9434375166893005,0.002
0.13433152437210083,0.96875,0.002
0.12688471376895905,0.9609375,0.002
